id	job_title	normalized_job_title	industry_key	industry_label	matched_rules	confidence_score	rule_version	created_at	updated_at
1	1st grade teacher	1st grade teacher	education_training_library	Education, Training & Library	token:teacher	1.45	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
2	1st pressman	1st pressman	manufacturing_production	Manufacturing & Production	token:pressman	1	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
3	1st pressman on web press	1st pressman on web press	manufacturing_production	Manufacturing & Production	token:pressman	1	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
4	21 dealer	21 dealer	administration_operations	Administration & Operations	heuristic:general_signal	0.65	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
5	2nd grade teacher	2nd grade teacher	education_training_library	Education, Training & Library	token:teacher	1.45	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
6	2nd pressman	2nd pressman	manufacturing_production	Manufacturing & Production	token:pressman	1	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
7	2 year olds preschool teacher	2 year olds preschool teacher	education_training_library	Education, Training & Library	phrase:preschool teacher; token:teacher	4.55	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
8	3d animator	3d animator	marketing_advertising_media_design	Marketing, Advertising, Media & Design	token:animator	1.45	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
9	3d artist	3d artist	arts_entertainment_sports_fitness_beauty	Arts, Entertainment, Sports, Fitness & Beauty	token:artist	1	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
10	3d designer	3d designer	marketing_advertising_media_design	Marketing, Advertising, Media & Design	token:designer	1	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
11	3d modeler	3d modeler	administration_operations	Administration & Operations	heuristic:general_signal	0.65	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
12	3d specialist	3d specialist	administration_operations	Administration & Operations	heuristic:admin_signal	0.65	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
13	3d technologist	3d technologist	healthcare_medical	Healthcare & Medical	token:technologist	1	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
14	3rd grade reading teacher	3rd grade reading teacher	education_training_library	Education, Training & Library	token:teacher	1.45	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
15	3rd grade teacher	3rd grade teacher	education_training_library	Education, Training & Library	token:teacher	1.45	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
16	3rd mate	3rd mate	aerospace_aviation_maritime	Aerospace, Aviation & Maritime	token:mate	1	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
17	3rd pressman	3rd pressman	manufacturing_production	Manufacturing & Production	token:pressman	1	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
18	411 directory assistance operator	411 directory assistance operator	manufacturing_production	Manufacturing & Production	token:operator	1.45	rule_bootstrap_v4	2026-04-09 03:05:32	2026-04-09 03:05:32
