id	location_type	state_usps	state_geoid	location_geoid	ansicode	location_name	search_location_name	normalized_location_name	normalized_search_location_name	lsad_code	funcstat	aland	awater	aland_sqmi	awater_sqmi	intptlat	intptlong	source_file	created_at
1	city	AL	01	0100100	02582661	Abanda CDP	Abanda	abanda cdp	abanda	57	S	7764032	34284	2.998	0.013	33.091627	-85.527029	allcitiesbystate.txt	2026-04-09 02:51:58
2	city	AL	01	0100124	02403054	Abbeville city	Abbeville	abbeville city	abbeville	25	A	40255361	107642	15.543	0.042	31.564706	-85.259121	allcitiesbystate.txt	2026-04-09 02:51:58
3	city	AL	01	0100460	02403063	Adamsville city	Adamsville	adamsville city	adamsville	25	A	67897213	540470	26.215	0.209	33.602315	-86.971527	allcitiesbystate.txt	2026-04-09 02:51:58
4	city	AL	01	0100484	02405123	Addison town	Addison	addison town	addison	43	A	9753875	82835	3.766	0.032	34.202681	-87.178004	allcitiesbystate.txt	2026-04-09 02:51:58
5	city	AL	01	0100676	02405125	Akron town	Akron	akron town	akron	43	A	1776165	13849	0.686	0.005	32.879066	-87.740899	allcitiesbystate.txt	2026-04-09 02:51:58
6	city	AL	01	0100820	02403069	Alabaster city	Alabaster	alabaster city	alabaster	25	A	68000038	820693	26.255	0.317	33.214355	-86.82308	allcitiesbystate.txt	2026-04-09 02:51:58
7	city	AL	01	0100988	02403074	Albertville city	Albertville	albertville city	albertville	25	A	69856181	244058	26.972	0.094	34.26313	-86.21066	allcitiesbystate.txt	2026-04-09 02:51:58
8	city	AL	01	0101132	02403077	Alexander City city	Alexander City	alexander city city	alexander city	25	A	119262362	751688	46.047	0.29	32.916719	-85.940589	allcitiesbystate.txt	2026-04-09 02:51:58
9	city	AL	01	0101180	02402638	Alexandria CDP	Alexandria	alexandria cdp	alexandria	57	S	28840486	27589	11.135	0.011	33.760819	-85.872008	allcitiesbystate.txt	2026-04-09 02:51:58
10	city	AL	01	0101228	02403080	Aliceville city	Aliceville	aliceville city	aliceville	25	A	11835209	0	4.57	0	33.123706	-88.159344	allcitiesbystate.txt	2026-04-09 02:51:58
11	city	AL	01	0101396	02405136	Allgood town	Allgood	allgood town	allgood	43	A	2831039	1452	1.093	0.001	33.907623	-86.516109	allcitiesbystate.txt	2026-04-09 02:51:58
12	city	AL	01	0101660	02405146	Altoona town	Altoona	altoona town	altoona	43	A	11918557	25442	4.602	0.01	34.040014	-86.305179	allcitiesbystate.txt	2026-04-09 02:51:58
13	city	AL	01	0101708	02403097	Andalusia city	Andalusia	andalusia city	andalusia	25	A	51318234	405912	19.814	0.157	31.309436	-86.478031	allcitiesbystate.txt	2026-04-09 02:51:58
14	city	AL	01	0101756	02405149	Anderson town	Anderson	anderson town	anderson	43	A	3347216	1520	1.292	0.001	34.915675	-87.274274	allcitiesbystate.txt	2026-04-09 02:51:58
15	city	AL	01	0101852	02403101	Anniston city	Anniston	anniston city	anniston	25	A	118751122	180468	45.85	0.07	33.673469	-85.810891	allcitiesbystate.txt	2026-04-09 02:51:58
16	city	AL	01	0102116	02403104	Arab city	Arab	arab city	arab	25	A	34513631	344544	13.326	0.133	34.332387	-86.501167	allcitiesbystate.txt	2026-04-09 02:51:58
17	city	AL	01	0102260	02405163	Ardmore town	Ardmore	ardmore town	ardmore	43	A	5290514	21212	2.043	0.008	34.987838	-86.829022	allcitiesbystate.txt	2026-04-09 02:51:58
18	city	AL	01	0102320	02405164	Argo city	Argo	argo city	argo	25	A	27715022	147613	10.701	0.057	33.691018	-86.505281	allcitiesbystate.txt	2026-04-09 02:51:58
